georgian,english
ევროპა კონტინენტია.,Europe is a continent.
ჩემი სახელია რიკარდო.,My name is Ricardo.
გული მაქვს.,I have a heart.
წიგნს წავიკითხავ.,I'll read the book.
შენ გჭირდება ჩემი ნებართვა,You need my permission.
ეს ტომის სკოლაა.,This is Tom's school.
ბუხარესტში ვცხოვრობ.,I live in Bucharest.
მე მიყვარს წიგნების კითხვა.,I love to read books.
ფაბრიკაში ვმუშაობთ.,We work in a factory.
ემილი წერილს წერს.,Emily is writing a letter.
ის წერილს დაწერა.,She wrote a letter.
მე წყალს ვსვამ.,I drink the water.
წიგნს ავიღე.,I took the book.
ის დიდი ძაღლია.,It is a big dog.
ჩვენ მოვაგვარეთ პრობლემა.,We've resolved the problem.
მე კარს ვაღებ.,I open the door.
მას მე უყვარვარ?,Does he love me?
მე მიყვარს შენი ჩანთა.,I love your bag.
ამ ქარხანაში ვმუშაობდი.,I worked in this factory.
ის მერხზე ზის.,He's sitting on the bench.
მე არ ვმღერი.,I do not sing.
მე ცხოვრებს ვცხოვრობ.,I live life.
ათი საათია.,It's ten o'clock.
მე არა ვარ კარგი ადამიანი.,I'm not a good person.
სამი საათია.,It's three o'clock.
ოთხი საათია.,It's four o'clock.
ექვსი საათია.,It's six o'clock.
რვა საათია.,It's eight o'clock.
ცხრა საათია.,It's nine o'clock.
თერთმეტი საათია.,It's eleven o'clock.
თორმეტი საათია.,It's twelve o'clock.
დიდი სახლი მაქვს.,I have a big house.
ლურჯი სახლი მაქვს.,I have a blue house.
წითელი სახლი მაქვს.,I have a red house.
მწვანე სახლი მაქვს.,I have a green house.
თეთრი კატა არის ხის ქვეშ.,The white cat is under the tree.
მე ხის ქვეშ ვარ.,I'm under the tree.
სკოლაში წასვლა მინდა.,I want to go to school.
ცხოვრება საჩუქარია.,Life is a gift.
ბრაზილია სამხრეთ ამერიკაში ყველაზე დიდი ქვეყანაა.,Brazil is the biggest country in South America.
ზედმეტად ვსვამ!,I drink too much!
"რა არის ""თავისუფლების ფლოტილია""?",What is Freedom Flotilla?
ჩერნოგორიაში ვცხოვრობ.,I live in Montenegro.
ქართული იცი?,Do you know Georgian?
მე წერილს ვწერ ჩემი ქალიშვილისთვის.,I'm writing a letter to my daughter.
მე წიგნის დავწერ.,I'll write a book.
ეს საქართველოს შესახებ წიგნია.,This is a book about Georgia.
ეს სიმსუქნის შესახებ წიგნია.,This is a book about obesity.
მინდა ვიყო ბავშვი.,I want to be a child.
მუშაები გაფიცვაში არიან.,Workers are on strike.
გასაღებები გარდერობში არიან.,The keys are in the wardrobe.
"მეგონა ვუყვარდი, მაგრამ რეალურად მას ჩემთან მხოლოდ სექსი უნდოდა.","I thought that he loved me, but in reality he just wanted to have sex with me."
მე არა ვარ დიქტატორი.,I'm not a dictator.
ყველი ყვითელია.,The cheese is yellow.
სოფელში ძროხა არის.,There is a cow in the village.
მე წვნიანს ვჭამ სამზარეულოში.,I'm eating soup in the kitchen.
მოსწავლები საკლასო ოთახში არიან.,The students are in the classroom.
ჩემი ძმები ხის ქვეშ არიან.,My brothers are under the tree.
ძიძა აქ არ არის.,The nurse is not here.
ეს მანქანა ძალიან სწრაფია.,That car is very fast.
ეს კარგი პასუხია.,That's a good answer.
ვაშლი მინდა.,I want an apple.
დათვი ვაშლს ჭამს.,The bear is eating an apple.
კატა წიგნს კითხულობს.,The cat is reading a book.
ძაღლი ვაშლს ჭამს.,The dog is eating an apple.
ისინი ვაშლებს ჭამენ.,They're eating the apples.
ნიუე ქვეყანაა.,Niue is a country.
მე შენი მოქმედებების შესახებ ვსაუბრობ.,I'm talking about your actions.
მე ლამაზი ვარ?,Am I pretty?
უშნო ხარ.,You're ugly.
"მე ვფიქრობ, რომ მე ვარ მთვრალი.",I think I'm drunk.
ორი კატა ჰყავს.,She has two cats.
მელანი ახლავე და­კა­ვე­ბუ­ლია.,Melanie is busy right now.
ის ამ საღამოს ლენინგრადს მიემგზავრება.,He's leaving for Leningrad tonight.
მელანი ვაშლს ჭამს.,Melanie is eating an apple.
მე შენს შესახებ ვისაუბრებ.,I'll talk about you.
"ხილი და ბოსტნეული ჯანმრთელი არიან, მაგრამ ჩვენ არ ვიცით რატომ.","Fruit and vegetables are good for your health, but we don't know why."
მე ვუკვეთავ პიცას.,I order pizza.
მე მელანი ვარ.,I'm Melanie.
ემილი ხარ.,You're Emily.
მე ასევე ებრაელი ვარ.,I'm also a Jew.
ჩემი ბიძაშვილი ჟურნალისტია.,My cousin is a journalist.
მე ცალთვალა ვარ.,I'm one-eyed.
ამ ოთახში ბიჭია.,There is a boy in this room.
მაგიდაზე რუკა არის.,There is a map on the table.
შეგიძლია პირობა მომცე?,Can you get permission?
კაცი ხარ თუ ქალი?,Are you a man or a woman?
ემილი ინგლისელია.,Emily is English.
ემილი და მელანი ინგლისელი არიან.,Emily and Melanie are English.
იქ ცხოვრობ?,Do you live there?
თქვენ იქ ცხოვრობთ?,Do you live there?
ფანტაზია უფრო მნიშვნელოვანია ვიდრე ცოდნა. ცოდნას საზღვრები აქვს.,Imagination is more important than knowledge. Knowledge is limited.
ამ ქალაქში არ ვცხოვრობ.,I don't live in this city.
იმ ქალაქში არ ვცხოვრობ.,I don't live in that city.
შენ კარს აღებ.,You open the door.
თქვენ კარს აღებთ.,You open the door.
ჩვენ კარს ვაღებთ.,We open the door.
ისინი კარს აღებენ.,They open the door.
ის კარს აღებს.,He opens the door.
ის კარს აღებს.,She opens the door.
რაღაც თქვა.,He said something.
რაღაც ვთქვი.,I said something.
რა არის მინიმალური ხელფასი საქართველოში?,What's the minimum salary in Georgia?
წავალთ თქვენთან ერთად.,We'll go with you.
წავალთ შენთან ერთად.,We'll go with you.
"დამსაქმებლებს არ შეუძლიათ უარი თქვან მომუშავეთა აყვანაზე მათი რასის, რელიგიის, ეთნიკური წარმომავლობის, კანის ფერის, სქესის, ასაკის, მატერიალური სტატუსის, შეზღუდულობის ან სექსუალური ორიენტაციის გამო.","Employers cannot refuse to hire workers because of their race, religion, ethnic origin, skin colour, sex, age, marital status, disability or sexual orientation."
ეს ახალი ერის დასაწყისია.,This is the beginning of a new era.
ეს გასულ თვის ჟურნალია.,This is last month's magazine.
ის ხედავს შენი ცხენს.,She sees your horse.
ის იცის ჩემი ცოლს.,She knows my wife.
მე უბრალოდ მინდოდა შენი გაბედნიერება.,I just wanted to make you happy.
ქარხანაში მუშაობა უნდა.,He wants to work in a factory.
არ უნდა ქარხანაში მუშაობა.,He doesn't want to work in a factory.
შემიძლია აქ ვმუშაობ?,Can I work here?
ბავშვი წავიყვანე.,I took the child.
კნუტები გორავენ.,The kittens are rolling.
ჩვენს სტუმრებს ეჩქარებათ.,Our guests are in a hurry.
დაღლილი იყავი.,You were tired.
დაღლილი იყავით.,You were tired.
შენ არ იყავი დაღლილი.,You weren't tired.
შენ მჭორავ მე დედაჩემთან.,You gossip to my mother about me.
ბევრია გასაკეთებლად.,There is a lot to do.
45 წლის ვარ.,I'm 45 years old.
რძეს ვსვამ.,I'm drinking milk.
ცხენი არ არის თეთრი.,The horse is not white.
ვინ მოგცა ნებართვა?,Who gave you permission?
მხოლოდ ვიცი ზოგიერთი სიტყვა და ფრაზა.,I only know some words and phrases.
ტომი არ არის შიგნით.,Tom's not in.
ორენოვანი ხარ?,Are you bilingual?
მილი ჭამს პურს.,Millie is eating bread.
ტურისტებისთვისაა.,It's for tourists.
ტურისტებისათვისაა.,It's for tourists.
ინდოეთში წასვლა მინდა.,I want to go to India.
ტომი მიკრობიოლოგია.,Tom is a microbiologist.
ტომი არის მიკრობიოლოგი.,Tom is a microbiologist.
ფემინისტი ხართ?,Are you a feminist?
ქალი პურს ჭამს.,The woman eats bread.
მე ვარ რიკარდო.,I'm Ricardo.
მე რიკარდო ვარ.,I'm Ricardo.
რიკარდო ვარ.,I'm Ricardo.
ლობიოები მძულს.,I hate beans.
ის ავადმყოფია.,She is sick.
შენ ახლა ცრუობ ჩემთვის.,You're lying to me now.
დაახველა.,He coughed.
დალევა არავის უნდა?,Nobody wants to drink?
მინდა ვიყო მსახიობი.,I want to be an actress.
თავის მოკვლა ორჯერ ვცადე.,I've attempted suicide twice.
ეს ტელევიზორია.,This is a television.
ეს არის ტელევიზორი.,This is a television.
ეგ სკოლაა.,That is a school.
გავზვიადეთ.,We exaggerated.
ეს ნოხი გაწმენდილია.,This rug has been cleaned.
ეს ნოხია გაწმენდილი.,This rug has been cleaned.
სად არ გინდა წასვლა?,Where do you not want to go?
ვინ რას ყიდულობს?,Who is buying what?
ხვალ ვინ მიდის ქალაქში?,Who is going into the city tomorrow?
ვისთან მიდიხარ?,To whose house are you going?
რით არის ის სახლი აშენებული?,What is that house built out of?
ვისი შვილი ხარ შენა?,Whose child are you?
რომელი წიგნი გინდა?,Which book do you want?
"მარინამ იცის, კრება სად იქნება.",Marina knows where the meeting will be.
"იცით, სად იქნება კრება?",Do you know where the meeting will be?
"გელამ თქვა, რომ მამა წავიდა ქალაქში.",Gela said that Father went into the city.
"ეს მინდა, რომ ნინომ მოიგოს.",I want Nino to win.
"ვინ გინდა, რომ მოიგოს?",Who do you want to win?
მე უნდა ის გავაკეთო ახლა?,Do I have to do it now?
ვიღაც დახურავს ფანჯარა.,Someone will close the window.
ბიჭები კითხულობენ კითხვები.,The boys are asking questions.
პური მაქვს.,I have bread.
ხორცი გაქვს.,You have meat.
ხილი გვაქვს.,We have fruit.
წყალი გაქვთ.,You have water.
წყალი გაქვს.,You have water.
შაქარი აქვთ.,They have sugar.
მომეცი ცეცხლი.,Give me fire.
ყავა მომიტანა.,He brought me coffee.
ეს ანიტის სახლია.,It is Anita's house.
მინდა სპორტის გაკეთება.,I want to do some sport.
სეტყვავს.,It's hail stoning.
დასეტყვა.,It hail stoned.
მზეა.,It's sunny.
მზე იყო.,It was sunny.
ქარიშხალია.,There is a storm.
ქარიშხალი იყო.,There was a storm.
ზღვაშია კუნძულები.,There are islands in the sea.
ზღვაში კუნძულებია.,There are islands in the sea.
ზღვაშია კუნძულებია.,There are islands in the sea.
გოგო სვამს თევზის წყალს.,A girl drinks the fish's water.
ეს ნამდვილად მეცნიერებაა?,Is that really science?
ვინ ამას დაიჯერებს?,Who will believe this?
სად ნახე ამ ქალებს?,Where have you seen these women?
შენ გშია.,You're hungry.
გშია.,You're hungry.
ამ წიგნში ბევრი სურათია.,There are many pictures in this book.
"მან ეს წიგნი ძალიან მოკლე დროში დაწერა, მხოლოდ ორი კვირა მუშაობდა მასზე.","He wrote this book in a very short time, spending just two weeks working on it."
მე ვარ ქვრივი.,I am a widow.
ავტოავარიამ სამი ადამიანის სიცოცხლე იმსხვერპლა.,Three people died in the car accident.
რას მიყურებ?,What are you going to watch?
"გოგომ უარყოფის ნიშნად თავი გაიქნია, ბიჭი კი იდგა გაუნძრევლად.",The girl shook her head in refusal and the boy stood there shaking.
მეგობრობის სადღეგრძელო დავლიოთ!,Let us drink to friendship!
"პეტრე მაგიდიდან ადგა, უსიტყვოდ ჭიქა გამოცალა და მერე ისევ დაჯდა.","Peter got up from the table, silently poured out his glass, then sat down again."
"ამ ინფორმაციის საიმედოობაში ეჭვი არ მეპარება, რადგან ის სანდო ადამიანისგან მოდის.",I don't doubt the reliability of his information because it comes from a trustworthy person.
თანამედროვე ქართულ დამწერლობას მხედრული ჰქვია და 33 ასო აქვს.,The modern-day Georgian writing system is called Mkhedruli and has 33 letters
შრომამ შექმნა ადამიანი.,Labor created man.
ხვალ დახატავენ ღობეს.,They're painting the fence tomorrow.
"მინდა შენთან ლაპარაკი, ტომო.","I want to talk to you, Tom."
წითელია.,It's red.
ვეღარ მძინავს.,I can't sleep any more.
დედაჩემი სახლშია.,My mother is at home.
ვჭამთ.,We eat.
სოფელში ხუთი ძროხაა.,There are 5 cows in the village.
ძეხვი გემრიელია.,Sausage is delicious.
ყურძენი გაქვს.,You have grapes.
ყურძენი გაქვთ.,You have grapes.
წერილი დაგიწერე.,I wrote you a letter.
ახლა მინდა მასთან ლაპარაკი.,I want to talk to her now.
საბერძნეთი ძველი სახელმწიფოა.,Greece is an old country.
საბერძნეთი ძველი ქვეყანაა.,Greece is an old country.
გიყვართ თქვენი დედა?,Do you love your mother?
გიყვართ დედა?,Do you love your mother?
გიყვარს დედა?,Do you love your mother?
დედა გიყვართ?,Do you love your mother?
დედა გიყვარს?,Do you love your mother?
გიყვარს დედაშენი?,Do you love your mother?
გიყვართ დედათქვენი?,Do you love your mother?
შეგვიძლია!,We can!
"გასულ ღამეს ვესიზმრებოდი, რომ მე ფუტკარს ვჭამდი.",Last night I dreamt I was eating bees.
30-ზე მეტმა ადამიანმა თავი მოიკლა.,Over 30 people committed suicide.
შევძლებ ესპერანტოს მალე შესწავლას?,May I study Esperanto soon?
ეხლა მე თქვენ გეტყვით სიმართლეს.,Now I'll tell you the truth.
მგელი ღმუის.,The wolf howls.
დედაშენი ძალიან ლამაზია!,Your mother is very beautiful!
რატომ გძინავს?,Why are you sleeping?
რატომ გძინავთ?,Why are you sleeping?
ყოველთვის სკოლაშია.,She is always at school.
მე მოგცემ ვაშლს.,I'll give you an apple.
მე მოგცემ ფულს.,I'll give you money.
ორი მანქანა მქონდა.,I had two cars.
ოთხი შვილი მყავდა.,I had four children.
ჩემი სახელია ირაკლი.,My name is Irakli.
"ის ამბობს, რომ გიცნობს.",He says that he knows you.
დღეს სამუშაო დღეა.,Today is a working day.
რა დახმარებას მივიღებ?,What help do I get?
გვეძინა.,We slept.
დავიწყებთ რაც შეიძლება ჩქარა.,We will begin as soon as possible.
კუებს კბილები არ აქვთ.,Turtles don't have teeth.
ტალოსურად ლაპარაკობთ?,Do you speak Talossan?
ტალოსურად ლაპარაკობ?,Do you speak Talossan?
გჭირდებათ ტუალეტის ქაღალდი?,Do you need toilet paper?
გჭირდება ტუალეტის ქაღალდი?,Do you need toilet paper?
უეჭველად ვერ გაგკიცხავთ.,We certainly can't blame you.
ზოგიერთი ადამიანი საერთოდ ვერ მღერის.,Some people can't sing at all.
ტუალეტის ქაღალდი არ იყო.,There was no toilet paper.
ეგვიპტეში ვარ.,I'm in Egypt.
ინდური სახელია.,It's an Indian name.
"სექსის დროს პრეზერვატივს თუკი არ გამოიყენებ, შეიძლება დაავადება აიკიდო.","If you don't use a condom during sex, you can catch a disease."
პლაჟში მივდივარ.,I'm going to the beach.
ტომი და მერი ანტიფაშისტები არიან.,Tom and Mary are anti-fascists.
რამდენიმე წიგნი გაქვს.,You have few books.
ძალიან კარგი იქნება.,He will be very nice.
მე მგონი ტომი ბოსტონში ცხოვრობს.,I think Tom lives in Boston.
ნებართვა არ გაქვს აქ გააკეთო.,You're not permitted to do that here.
"ტომი 15-ის იყო, მარია 14-ის. სხვა ბავშვები - მათი სახელები აღარ მახსოვს - ცოტათი უმცროსები იყვნენ.","Tom was 15, Maria 14. The other children – I can no longer remember their names – were a bit younger."
სიმართლეს გეტყვი.,I will tell you the truth.
"ღიმილი, რომელსაც გაგზავნი, ისევ შენ დაგიბრუნდება.",The smile you send out returns to you.
"თუ ჩუმად ვარ, ეს არ ნიშნავს რომ გეთანხმები.","If I stay silent, it doesn't mean that I agree with you."
"თუკი არაფერს ვამბობ, ეს იმას არ ნიშნავს, რომ გეთანხმები.","If I don't say anything, it doesn't mean I'm agreeing with you."
"დღისით ვსწავლობ, საღამოს კი ვმუშაობ.","I study during the day, and in the evening I work."
დაივიწყე. ეს უბრალოდ იდეა იყო.,Forget it. It was just an idea.
"იმის მიღება, რაც გინდა, ღიმილით უფრო მარტივია ვიდრე ხმლის წვერით.",It's easier to get what you want with a smile than with the tip of the sword.
"ტომმა იცოდა, რომ სადღაც და ჰყავდა, მაგრამ არასოდეს ენახა","Tom knew he had a sister somewhere, but he had never seen her."
კიდევ ერთი კმაყოფილი მყიდველი.,Another satisfied customer.
"მარი, შეწყვიტე. საკმარისია.","Mary, stop it. That's enough."
"ტომ, შეწყვიტე, საკმარისია.","Tom, stop it. That's enough!"
მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.,Mary was not one of the most popular girls.
მან უნდა იცოდეს რა ხდება.,He needs to know what's going on.
ძალიან დამღალე.,I'm so tired of you.
როდიდან ჩვენ ვართ მეგობრები?,Since when are we friends?
მე უნდა წავიდე ბოსტონში ტომთან ერთად.,I have to go to Boston with Tom.
"ტომმა თქვა, რომ წავიდოდა ბოსტონში.",Tom said that he'd go to Boston.
მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.,Mary wasn't one of the most popular girls.
"""ვისია ეს სკამი?"" _""ჩემია"".","""Whose chair is this?"" ""Mine."""
ტომი წასვლას აპირებს ავსტრალიაში.,Tom is going to go to Australia.
ტომმა დაემშვიდობა თავის ოჯახს.,Tom said goodbye to his family.
"ტომი წასვლას არ აპირებს შენთან ერთად, არა?","Tom isn't going with you, is he?"
ტომი გაკეთებას გამოტოვებას აპირებს.,Tom is going to miss doing that.
ტომს არ მინდა დაემშვიდობოს.,Tom doesn't want to say goodbye.
ტომს არ უნდა წავიდეს შენთან ერთად.,Tom doesn't want to go with you.
გვინდა ბოსტონში და შიკაგოში წავიდეთ.,We want to go to Boston and Chicago.
ზამთარში ცურვა არ არის საშიში ჯანმრთელი ხალხისთვის.,Winter swimming isn't dangerous for healthy people.
ძალიან დაბალი ხარ.,You're very short.
ძალიან დაბალი ხართ.,You're very short.
შენ ძალიან დაბალი ხარ.,You're very short.
თქვენ ძალიან დაბალი ხართ.,You're very short.
შენს უკან ვარ.,I'm behind you.
მე შენს უკან ვარ.,I'm behind you.
ის პლაჟები აქედან შორსაა.,Those beaches are far from here.
წყალი ძალიან ცხელია.,The water's very hot.
წყალი ძალიან ცხელი არის.,The water's very hot.
წყალი არის ძალიან ცხელი.,The water's very hot.
მესაკუთრეს ახსნა გასაგებია.,The owner's explanation is clear.
მესაკუთრეს ახსნა არის გასაგები.,The owner's explanation is clear.
ეს ადგილი ძალიან სასიამოვნოა.,This place is very pleasant.
რატომ შენს ხელში დანაა?,Why do you have a knife in your hand?
თომმა დესერტი შეჭამა?,Did Tom eat dessert?
გეთაყვა რაღაც ცივი სასმელი მომეცი.,Please give me something cold to drink.
თომი არ ჭამს დესერტს.,Tom doesn't eat dessert.
თომი დესერტს არ ჭამს.,Tom doesn't eat dessert.
"ტომიც მასწავლებელია, არა?","Tom is a teacher, too, isn't he?"
მომწონს სიმარტივე,I like simplicity.
მე მომწონს სიმარტივე,I like simplicity.
სიმარტივე მომწონს,I like simplicity.
"ტომი მარის მეზობელია, არა?","Tom is Mary's neighbor, isn't he?"
ყავა ამ რესტორანში არაა ძალიან კარგი,The coffee at this restaurant isn't very good.
მე მიყვარს დონატები,I like doughnuts.
ყველას უნდა უყვარდეს თავისი ქვეყანა,All people should love their country.
ამ შუადღეს ბევრი თევზი დავიჭირეთ,We caught a lot of fish this afternoon.
აფრიკა კონტინენტია.,Africa is a continent.
მარიამმა ცაზე იყო.,Mary was in heaven.
"ტომი ან იდიოტია, ან გენიოსია.",Tom is either an idiot or a genius.
ჩემი მეგობარი უსარგებლოა.,My boyfriend is useless.
სამის აქვს მუქი კანი.,Sami is dark-skinned.
სამი არის მუქკანიანი.,Sami is dark-skinned.
სამი მუქკანიანია.,Sami is dark-skinned.
ამჟამად ტომი ცხოვრობს ავსტრალიაში.,"Currently, Tom lives in Australia."
ტომიც მუშაობს ავსტრალიაში?,"Does Tom work in Australia, too?"
შემიძლია წავიდე ავსტრალიაში ტომთან ერთად?,Can I visit Australia with Tom?
შემიძლია წავიდე ავსტრალიაში ტომისთვის.,I can go to Australia for Tom.
რამდენ ხანს ტომმა დარჩი ავსტრალიაში?,How long was Tom in Australia?
ტომი როგორ მიდის ავსტრალიაში?,How is Tom going to Australia?
ტომი არ ცხოვრობს ავსტრალიაში?,Doesn't Tom live in Australia?
ტომს მაინც მოსწონს ავსტრალია?,Does Tom still like Australia?
ტომი და მარიამი არიან ავსტრალიაში?,Are Tom and Mary in Australia?
"""სადაა ტომი""? ""ავსტრალიაშია.""","""Where's Tom?"" ""In Australia."""
ტომი როგორაა ავსტრალიაში?,How's Tom doing in Australia?
ტომი როგორ არის ავსტრალიაში?,How's Tom doing in Australia?
ტომი დაინახე ავსტრალიაში?,Did you see Tom in Australia?
ტომი ავსტრალიაში გაიზარდა?,Did Tom grow up in Australia?
ტომმა როგორ წავიდა ავსტრალიაში?,How did Tom go to Australia?
ტომი მუშაობს ავსტრალიაში?,Does Tom work in Australia?
ვერ ვრჩები ავსტრალიაში. უნდა დავბრუნდე ახალ ზელანდიაში.,I can't stay in Australia. I have to get back to New Zealand.
ტომი ცხოვრობს ავსტრალიაში?,Does Tom live in Australia?
ტომმა ავსტრალიაში წავიდა?,Did Tom go to Australia?
ტომს ავსტრალია მოეწონა?,Did Tom like Australia?
ნაღდი ფულით ვიხდი.,I am paying with cash.
სად არის სასმელი წყალი?,Where is the water drinkable?
სამწუხაროდ პასპორტი დავკარგე.,"Unfortunately, I lost my passport."
ტომმა ლექსიკონი იყიდა მარიამისთვის.,Tom bought Mary a dictionary.
ჩემი სინდისი არ არის სუფთა.,My conscience is not clean.
ალჟირელები ბერბერულს სწავლობენ სკოლაში.,Algerians learn Berber at school.
იმავე წელს დავიბადეთ.,We were born in the same year.
ის წავა სტომატოლოგში.,He will go to the dentist.
ბედუინები ცხოვრობენ უდაბნოში.,Bedouins live in the desert.
მარიამს ცხენები უყვარს.,Mary loves horses.
მარიამს ცხოველები უყვარს.,Mary loves animals.
ჰუდინი იყო ცნობილი ესკაპოლოგი.,Houdini was a famous escapologist.
ალჟირში დავბრუნდი.,I went back to Algeria.
ძაღლები და კატები არ არიან მეგობრები.,Dogs and cats aren't friends.
ეს ლურჯია?,Is this blue?
საზოგადოებაში ვცხოვრობთ.,We live in a society.
მე ფეხმძიმე ვარ.,I am pregnant.
ცხადია.,Certainly.
ნატურალურად !,Naturally.
მშიერი ვარ.,I am hungry.
საიდან ეს დროშა?,Where does this flag come from?
მომეცი მაგალითები.,Give examples.
გამომყევი მე!,Follow me!
მაია კეუცი არის კარგი მომღერალი.,Maja Keuc is a good singer.
ილაპარაკე იტალიურად!,Speak Italian!
ლამაზი კაბაა.,Nice dress.
"სიტყვები, სიტყვები...","Words, words..."
დასვენება!,Relax!
კატა ვარ.,I'm a cat.
მე კატა ვარ.,I'm a cat.
მზადაა!,Ready!
"გაზაფხულზე , ბუნება ხდება მწვანე.","In spring, nature turns green."
იმის გამო ვერ მჯერა.,That's why I cannot believe it.
"ის ლამაზია, მაგრამ საშიში.","She's pretty, but dangerous."
ფრანგული ჩემი მშობლიური ენაა.,French is my native tongue.
რამდენ დროს წაიღებს?,What is taking so long?
არასდროს მივსულვარ მეჩეთში.,I have never been to a mosque.
არასდროს მივსულვარ ეკლესიაში.,I have never been to a church.
არაფერი ვნახე.,I did not see anything.
მათ გაატარეს თავიანთი დასვენება მთებში.,They spent their holiday in the mountains.
მენადი ყაჩაღია.,Mennad is a robber.
მენადი არ გაგიჟდება.,Mennad won't get mad.
მენადმა დაინახა რომ მისი მეგობარი მოკვდა.,Mennad saw his friend die.
საშას ქონდა ძლიერი ტკივილი მარჯვენა ხელში.,Sasha had a sharp pain in her right hand.
"არ მეგონა, რომ ტოფუ იმდენად გემრიელი იქნებოდა.",I wouldn't have thought that tofu tastes this good.
ეს გავრცელებულია ევროპაში.,This is common in Europe.
ჩემი და არის ორი წლით უმცროსი ჩემზე.,My sister is two years younger than me.
ყველა ის ვაშლი შევჭამე.,I ate all those apples.
ომი გრძელდება!,The war continues!
ეგ წიგნი ღირს წასაკითხად.,That book is worth a read.
მოვალ შემდეგი ავტობუსით.,I'll come by the next bus.
რა ქვია მას?,Which his name?
მე მივდივარ მეგობრის შესახვედრად.,I'm going to meet a friend.
ჩვენ ჯერ კიდევ ვმუშაობთ სახლში.,We still work at home.
"მარი არის ნამდვილად ლამაზი, არ არის ის?","Mary is really pretty, isn't she?"
მას ჰყავს ახალი მანქანა.,She has a new car.
მას ჰყავს ახალი კლიენტი.,He has a new client.
გამოცდაზე იყო წერილობითი ნაწილი.,The exam had a written portion.
მომეცი ნება გადავიხადო ანგარიში.,Let me pay the bill.
მე ვფიქრობ ჩვენ ვართ შემდეგი.,I think that we're next.
არავინ იცის რა მოხდება.,No one knows what'll happen.
ტომმა ააშენა ახალი სახლი.,Tom has built a new house.
ხალხის უმრავლესობას სჯერა ტყუილი სიახლეების.,Most people believe fake news.
ისწავლო ფრანგული არ არის რთული,Learning French isn't difficult.
"არ მინდა, რომ თომი ჩემი პატრონი იყოს.",I don't want Tom to be my boss.
"არ მინდა, რომ თომი ჩემი პატრონი იყოს, რადგან ის იდიოტია.",I don't want Tom to be my boss because he is an idiot.
ის არასდროს მატყუებს მე.,He never lies to me.
"უკაცრავად , თქვენ საუბრობთ იტალიურად?","Excuse me, do you speak Italian?"
ჩემი ძაღლი არ არის აქ.,My dog isn't here.
როგორია ცხოვრება რიოში?,How's life in Rio?
სამი საუბრობდა სწრაფად.,Sami was talking quickly.
ეს ხე ჩემმა ბაბუამ დარგო.,My grandfather planted this tree.
არცერთს არ უნდა დაგვეხმაროს ჩვენ.,No one wanted to help us.
არცერთს არ უნდა დაგვეხმაროს ჩვენ.,Nobody wanted to help us.
ის არის მსოფლიო ჩემპიონი.,She's the world champion.
მე ჯერ კიდევ ვცხოვრობ მშობლების სახლში.,I still live at my parents' house.
ბებიაჩემს არ აქვს ინტერნეტი.,My grandma doesn't have the internet.
უფროსმა მომცა მე ეს ხელფასი.,The boss gave me this salary.
ტომმა თქვა ის და მისი ცოლი უნდა წავიდნენ ავსტრალიაში გაზაფხულზე.,Tom said he and his wife would go to Australia in the spring.
არის ტომი უფრო ახალგაზრდა ვიდრე შენ?,Is Tom younger than you?
არის ტომი უფრო უფროსი ვიდრე შენ?,Is Tom older than you?
არის ტომი უფრო ახალგაზრდა ან უფრო მოხუცი ვიდრე შენ?,Is Tom younger or older than you?
"ვინ არის უფრო დაბალი, შენ თუ ტომი?","Who's shorter, you or Tom?"
"ვინ ჭამს მეტს, შენ თუ ტომი?","Who eats more, you or Tom?"
მე არ ვარ მზად ქორწინებისთვის.,I'm not ready for marriage.
მე მოგიტან შენ.,I'll bring you.
დათვალე შენ ეს სწორად?,Did you count this right?
მე ვფიქრობ ტომი მომზადებს საუზმეს.,I think Tom will make breakfast.
მათ ჰყავთ ბევრი ბავშვები.,They have lots of children.
კარგი. სად ცხოვრობ შენ?,Ok. Where do you live?
შენ ფული არ გაქვს.,You don't have money.
მე არ მაქვს ალტერნატივა.,I have no alternatives.
მე არ შემიძლია ვთქვა რამე ცუდი ტომის შესახებ.,I can't say anything bad about Tom.
სახლში დარჩით.,Stay home.
სახლში დარჩი.,Stay home.
ტომმა ყველა შეცდომა გაასწორა. ახლა ანგარიში სრულყოფილია.,Tom has corrected the all mistakes. Now the report is perfect.
შვებულებაში წავალ საფრანგეთში.,I will go to France on holiday.
დავამტკიცებდი.,I'd approve.
ვაზა მან მოტეხა.,It was him who broke the vase.
წყალს სვამ?,Do you drink water?
გეთაყვა ნიღაბი ატარო.,Please wear a mask.
გეთაყვა ნიღაბი ატაროთ.,Please wear a mask.
ტომი არ ატარებდა თავის ახალ ქუდს.,Tom wasn't wearing his new hat.
არსად ვაპირებ წასვლას.,I'm not going to go anywhere.
ტომი არ არის კაპიტალისტი.,Tom isn't a capitalist.
პომიდორები კარგად გაიზარდნენ.,The tomatoes have grown well.
როგორ შემიძლია დავარწმუნო?,How can I be sure?
მოდი ვიმღეროთ სიმღერა ინგლისურად.,Let's sing a song in English.
"ვიცი, რომ ტომმა ეს გააკეთა.",I know Tom did this.
ჯერ კიდევ ვგეგმავ წავიდე.,I'm still planning to go.
მან უნდა წავიდეს.,She needs to go.
