georgian,english
ბანგლადეში.,Bangladesh.
თქვენ მომღერალი ხართ.,You are a singer.
უნივერსიტეტს.,University.
ჩემი და არის ორი წლით უმცროსი ჩემზე.,My sister is two years younger than me.
რა გქვიათ?,What's your name?
შევთანხმეთ.,We concurred.
ფრანგულად ლაპარაკობ?,Do you speak French?
რით არის ის სახლი აშენებული?,What is that house built out of?
კურო.,Taurus.
სადაური ხართ?,Where are you from?
საკრებულოს.,Sakrebulo.
ის ტომისაა?,Is that Tom's?
Shandong პროვინციაში ჩინეთ.,Shandong Province.
დავით.,David.
მექსიკა.,Mexico.
საბერძნეთში.,Greece.
ირანული.,Iranian.
როგორ ბრძანდებით?,How are you?
პარიზში წასვლა მინდოდა.,I wanted to go to Paris.
ერაყი.,Iraq.
სერბეთში.,Serbia.
ზოგადად რვა საათზე ვდგები.,I usually get up at eight o'clock.
ეს ლურჯია?,Is this blue?
უკრაინა.,Ukraine.
არგენტინაში.,Argentina.
რატომ თხოვ?,Why do you ask?
ქარიშხალია.,There is a storm.
ნიკარაგუა.,Nicaragua.
ტომი არ ატარებდა თავის ახალ ქუდს.,Tom wasn't wearing his new hat.
ადვოკატირების საკონსულტაციო კომიტეტის.,Advocacy Advisory Council.
აღმოსავლეთ პარტნიორობის.,EaP.
იაპონიაში წასვლა მინდა.,I want to go to Japan.
შეერთებული შტატების.,United States.
მინდა ამერიკაში წავიდე.,I want to go to America.
როგორ შემიძლია დავარწმუნო?,How can I be sure?
მიუნხენი.,Munich.
ჰოლანდია.,Holland.
ჰოლივუდის.,Hollywood.
რუსული.,Russian.
იოკოჰამაში ვცხოვრობ.,I live in Yokohama.
ემილი ხარ.,You're Emily.
ედუარდ შევარდნაძე.,Eduard Shevardnadze.
მელანი ვაშლს ჭამს.,Melanie is eating an apple.
ბრიტანეთის საბჭოს.,the British Council.
გეთაყვა ნიღაბი ატაროთ.,Please wear a mask.
მას ჰყავს ახალი მანქანა.,She has a new car.
ევროპაში ხარ!,You're in Europe!
კათოლიკური.,Catholic.
ყველი ყვითელია.,The cheese is yellow.
გოგო სვამს თევზის წყალს.,A girl drinks the fish's water.
ინდუსები.,Hindus.
ეს არის ტელევიზორი.,This is a television.
ვალენტინობის.,Valentine.
კენი თამაშობს ტენისს?,Does Ken play tennis?
ემილი და მელანი ინგლისელი არიან.,Emily and Melanie are English.
ერთი ენა არასოდეს არაა საკმარისი.,One language is never enough.
გაერთიანებული სამეფოს.,the United Kingdom.
საბჭოთა კავშირის.,Soviet Union.
აშშ.,US.
კორეა.,Korea.
ჯონსონის.,Johnson.
წყალი გაქვთ.,You have water.
რუსეთი ოკუპანტია.,Russia is an occupant.
ესპანეთშ ი.,Spain.
ასოციაციის.,Association.
კობის.,Kobi.
ლათინური.,Latin.
მწუხარე ხარ.,You're sad.
ჯგუფი სამოგზაუროდ.,Group Travel.
მაქსიმალური სიმძლავრე.,Max Power.
Tannin კულინარია.,Tannin.
თბილისი.,Tbilisi.
სლავური.,Slavic.
შენ მომღერალი ხარ.,You are a singer.
მეთიუ.,Matthew.
მაკედონიის.,Macedonia.
აფხაზეთის.,Abkhazia.
ტაივანი.,Taiwan.
ედინბურგში.,Edinburgh.
"""ვისია ეს სკამი?"" _""ჩემია"".","""Whose chair is this?"" ""Mine."""
გირჩევ გადახედო ეს დოკუმენტები.,I suggest examining these documents.
იდიოტო!,You idiot!
თერჯოლის.,Terjola.
ტომი არ ცხოვრობს ავსტრალიაში?,Doesn't Tom live in Australia?
გთხოვთ გააგრძელოთ ეს ვიზა.,Please extend this visa.
კოალიცია.,Coalition.
სად რჩები?,Where are you staying?
და ინფრასტრუქტურის სამინისტროს საავტომობილო გზების.,the Ministry of Regional Development and Infrastructure of Georgia.
ესენინის.,Yesenin.
კავკასიის საერთაშორისო უნივერსიტეტის.,Caucasus International University.
აღმოსავლეთ პარტნიორობის.,Eastern Partnership.
ჩრდილოეთ ირლანდიის.,Northern Ireland.
სარა.,Sarah.
დასავლეთში.,West.
IC ბაზრები.,IC Markets.
შაქარი აქვთ.,They have sugar.
გადი.,Get out.
წყალტუბო.,Tskaltubo.
აკვარიუმის თევზი Corydoras.,Aquarium Fish Corydoras.
მე აქ არ ვცხოვრობ.,I don't live here.
გარდაბნის.,Gardabani.
""" ინოვაციური ტექნოლოგიური გ ადაწყვეტილებები.",“ Innovative Technology Solutions.
საბერძნეთი.,Greece.
ალჟირის.,Algeria.
ნიგერია.,Nigeria.
"ჰეი, შენ!","Hey, you!"
გიყვარს დედა?,Do you love your mother?
სტოკჰოლმში.,Stockholm.
უნივერსიტეტის.,The University.
ალბანეთის.,Albania.
ვიკიპედია.,Bitcoin.
"მინდა შენთან ლაპარაკი, ტომო.","I want to talk to you, Tom."
კიდევ ერთი კმაყოფილი მყიდველი.,Another satisfied customer.
რუკა.,Map.
ომანი.,Oman.
პეკინი - ახალი ჩინეთის საერთაშორისო საგამოფენო ცენტრ ი.,Beijing - New China International Exhibition Center.
სამხრეთ კავკასიის.,South Caucasus.
ეს ჩემი ძაღლია.,This is my dog.
კამბოჯის.,Cambodia.
შოტლანდიის.,Scottish.
სად არ გინდა წასვლა?,Where do you not want to go?
ტომმა დაემშვიდობა თავის ოჯახს.,Tom said goodbye to his family.
მოლდოვას.,Moldova.
ტაჯიკეთი.,Tajikistan.
მაიკლ.,Michael.
"გელამ თქვა, რომ მამა წავიდა ქალაქში.",Gela said that Father went into the city.
ლაზარე.,Lazarus.
მენადმა დაინახა რომ მისი მეგობარი მოკვდა.,Mennad saw his friend die.
"სიტყვები, სიტყვები...","Words, words..."
გვახსოვს.,We remember.
დასავლური.,Western.
კელტური.,Celtic.
ჯგუფი სკოლა სოციალური კლუბი.,Group School Social Club.
სად იყავი წუხელ?,Where were you last night?
შენ გშია.,You're hungry.
ფილიპინების.,Philippines.
ქიმია მძულს.,I hate chemistry.
რუსეთს.,Russia.
ირანში.,Iran.
ისევ შეუყვარდა.,He's fallen in love again.
ქრისტიანები.,Christians.
აფხაზეთი და სამაჩაბლო საქართველოა!,Abkhazia and Samachablo are Georgia!
მონტენეგრო.,Montenegro.
ვაშინგტონში.,Washington.
ლომი.,Leo.
"უკეთესი იქნებოდა, რომ არ წასულიყავი.",You'd better not go.
რუსულ.,Russian.
აკადემიის უნივერსიტეტის ეროვნულ ბიბლიოთეკაში კონსტიტუციის მოედანზე.,the Academy the University the National Library The Constitution Square.
ფოთში.,Poti.
უზბეკეთი.,Uzbekistan.
ჩრდილოეთ ამერიკაში.,North America.
უშნო ხარ.,You're ugly.
იტალიური.,Italian.
არავის არ ესმის ჩემი.,Nobody understands me.
მინდა გავაკეთო.,I want to do it.
იმერეთის.,Imereti.
პერუს.,Peru.
მე არ მიყვარს ექიმები.,I don't like doctors.
აფრიკის.,Africa.
კიევში.,Kyiv.
ბევრი მეგობარი მყავს.,I have many friends.
მე წყალს ვსვამ.,I drink the water.
ესენი არიან სტუდენტები.,These are students.
ყაზბეგის.,Kazbegi.
ყაზახეთი.,Kazakhstan.
ამერიკული.,American.
მზე იყო.,It was sunny.
ქართველი.,Georgians.
სამცხე.,Samtskhe.
გეჩქარებათ?,Are you in a hurry?
ფანტაზია უფრო მნიშვნელოვანია ვიდრე ცოდნა. ცოდნას საზღვრები აქვს.,Imagination is more important than knowledge. Knowledge is limited.
დასაწყისი .,DE.
ჯოზეფ.,Joseph.
მე არა ვარ დიქტატორი.,I'm not a dictator.
ბაღდათის.,Baghdati.
არავინ იცის რა მოხდება.,No one knows what'll happen.
გუდაურის.,Gudauri.
ირანი.,Iran.
ლამაზი კაბაა.,Nice dress.
აზერბაიჯანის.,Azerbaijan.
ტოიოტა სიტი აიჩი იაპონი.,Toyota City Official Travel Site.
რუკიდან ელ - ფოსტის ფილტრი მენეჯერი.,the Junk Email Filter Manager.
ევროპელები.,Europeans.
ტანზანია.,Tanzania.
თურქული.,Turkish.
სამხრეთ ამერიკის.,South America.
ბიჭები კითხულობენ კითხვები.,The boys are asking questions.
მე მომწონს შენი ციხე.,I like your castle.
ვეღარ მძინავს.,I can't sleep any more.
ფონდი.,Foundation.
არაბული.,Arabic.
წიგნი მაქვს.,I have a book.
იტყუებით.,You are lying.
Swanson ვიტამინები.,Swanson Vitamins.
რამდენ დროს წაიღებს?,What is taking so long?
ფონდი.,SRNSFG.
ბათუმშ.,Batumi.
მე შენს მხარეს ვარ.,I'm on your side.
ოთხი შვილი მყავდა.,I had four children.
ებრაულად ლაპარაკობ?,Do you speak Hebrew?
უბრალოდ არ ვიცი რა უნდა ვთქვა.,I just don't know what to say.
"არ მინდა, რომ თომი ჩემი პატრონი იყოს.",I don't want Tom to be my boss.
თიბისი ბანკი.,TBC Bank.
მე ვარ ქვრივი.,I am a widow.
მზადაა!,Ready!
ამერიკელი ვარ.,I come from America.
ამერიკაში წასვლა მინდა.,I want to go to America.
სახლიდან გასხვლა არ მინდა ამ საღამოს.,I don't want to go outside this afternoon.
ტომმა წავიდა.,Tom's gone.
მე ძალიან მორცხვი ვარ.,I'm very shy.
ბორჯომის.,Borjomi.
ლონდონში.,London.
პუშკინის.,Pushkin.
ბორჯომი.,Borjomi.
გერმანია.,Germany.
კრწანისის.,Krtsanisi.
კაზაკები.,Cossacks.
Hans Kottke წარწერები.,Hans Kottke.
სააგენტოს.,Agency.
ლუი აგუ.,Louis Auge.
ქვემო ქართლის.,Kvemo Kartli.
Seki შოუ.,Seki Show.
ნათია თურნავამ.,Natia Turnava.
აღმოსავლეთ ევროპის.,East European.
გერმანულად ლაპარაკობთ?,Do you speak German?
მინდა მისი გაკეთება.,I want to do it.
დონეცკის.,Donetsk.
ჰონკონგი.,Hong Kong.
წყალი ძალიან ცხელია.,The water's very hot.
სლოვაკეთის.,Slovakia.
ხაშურის.,Khashuri.
ლენინგრადის.,Leningrad.
"დიახ, რასაკვირველია.","Yes, of course."
მავრიტანიის.,Mauritania.
დღეს სამუშაო დღეა.,Today is a working day.
კომპანიის სიახლეები.,Company News.
მინდა რომ სამაგიერო გადაგიხადოთ თქვენი გულკეთილობისთვის უახლოეს მომავალში.,I would like to repay your kindness in the near future.
აჭარაში.,Ajara.
ტაივანის.,Taiwan.
ბაკურიანშ ი.,Bakuriani.
მექსიკის.,Mexican.
ევროკავშირში.,EU.
მოდი როგორც კი შეგიძლია.,Come as soon as you can.
გონიოს.,Gonio.
"ვიცი, რომ ტომმა ეს გააკეთა.",I know Tom did this.
ტატიანა.,Tatiana.
მარსელი.,Marseille.
ეს სახლი აშენდა ერთი წლის წინ.,This house was built a year ago.
ბარსელონაში.,Barcelona.
მუშაები გაფიცვაში არიან.,Workers are on strike.
რატომ გძინავს?,Why are you sleeping?
რამდენ ხანს დარჩით?,How long did you stay?
მეფე ცხოვრობს ციხეში.,The king lives in the castle.
ბალკანეთის.,Balkans.
მე ვარ ჟურნალისტი.,I am a journalist.
ბევრი მაქვს გასაკეთებელი.,I have a lot to do.
არქივი აირჩიეთ თვე.,Archives Select Month.
ბრიტანეთი.,Britain.
ტურისტებისთვისაა.,It's for tourists.
"კვერცხები სად არიან, გეთაყვა?","Where are the eggs, please?"
ევროკომისიის.,European Commission.
ქარიშხალი იყო.,There was a storm.
არცერთს არ უნდა დაგვეხმაროს ჩვენ.,No one wanted to help us.
ვლადიმერ.,Vladimir.
მან თავი მოიკლა.,He committed suicide.
გრიგოლ ნემსაძემ.,Grigol Nemsadze.
თურქეთის.,Turkey.
გერმანულად ლაპარაკობ?,Do you speak German?
მე არ ვმღერი.,I do not sing.
რა იყო თურქეთის პირველი კერძო არხი?,What was the first private channel in Turkey?
აშშ.,U S.
თურქულად ლაპარაკობ?,Do you speak Turkish?
ეს წიგნები ჩემი დის არიან.,Those are my sister's books.
აიოვას.,Iowa.
ანკარა.,Ankara.
თბილისის.,Tbilisi.
ყავა ამ რესტორანში არაა ძალიან კარგი,The coffee at this restaurant isn't very good.
მე ვფიქრობ ტომი მომზადებს საუზმეს.,I think Tom will make breakfast.
ყველა გოგონას არ სძულს მამაკაცი.,Not all girls hate men.
რა არის შენი ცხოვრების მიზანი?,What is your ultimate goal in your life?
ციმბირის.,Siberian.
უელსის.,Welsh.
მარცხენა ფეხი მტკივა.,My left foot hurts.
ამბროლაურის.,Ambrolauri.
საწყის ი გვერდიპროდუქციაინსტრუმენტებისამაგრებილითონის სამაგრი დიუბელები სამაგრები .,Home  PRODUCTS  TOOLS  Fixture  Ironmongery.
აღმოსავლეთ.,East.
ალექსანდრიის.,Alexandria.
ბრიტნი.,Britney.
თურქული.,Turkish.
ადამის.,Adam.
გაიანა.,Guyana.
პალაუს.,Palau.
სილვიო.,Silvio.
ევროკავშირი.,European Union.
ლატვიის.,Latvian.
ეუთო.,OSCE.
მე ვფიქრობ ჩვენ ვართ შემდეგი.,I think that we're next.
ბრიტანეთის საბჭო.,British Council.
სახლი მაქვს.,I have a house.
გერმანიას.,Germany.
AC კომუნალური სატვირთო.,AC Utility Truck.
ევროკავშირსა.,EU.
მოთოვა.,It snowed.
სასამართლომ.,Court.
ჭავჭავაძის.,Chavchavadze.
სადაური ხარ?,Where are you from?
დსთ -ს.,CIS.
გამოცდაზე იყო წერილობითი ნაწილი.,The exam had a written portion.
გუდაური.,Gudauri Ski Resort.
სადაა ჩემი წიგნი?,Where is my book?
საქართველოს პარლამენტს.,the Parliament of Georgia.
ყირგიზეთი.,Kyrgyzstan.
ინტერნეტის სამინისტროებს დარეგისტრირებული აქვთ.,Internet Ministries.
კარგი. სად ცხოვრობ შენ?,Ok. Where do you live?
შენ მჭორავ მე დედაჩემთან.,You gossip to my mother about me.
მას ჰყავს ახალი კლიენტი.,He has a new client.
ოციტანური ენა მიყვარს.,I like the Occitan language.
ექვსი საათია.,It's six o'clock.
სომხურ.,Armenian.
ზამთარში ცურვა არ არის საშიში ჯანმრთელი ხალხისთვის.,Winter swimming isn't dangerous for healthy people.
არსად ვაპირებ წასვლას.,I'm not going to go anywhere.
ყირიმის.,Crimea.
ნორვეგიაში.,Norway.
პოლ მანინგი.,Paul Manning.
ებრაული.,Hebrew.
მე უნდა წავიდე ბოსტონში ტომთან ერთად.,I have to go to Boston with Tom.
პარლამენტში.,Parliament.
რა დახმარებას მივიღებ?,What help do I get?
ნიდერლანდების.,Netherlands.
კორსიკა.,Corsica.
დაე ტომმა ატაროს რაც უნდა.,Let Tom wear what he wants.
ნიკანორი.,Nicanor.
სივრცე ცივია.,Space is cold.
საუდის არაბეთი.,Saudi Arabia.
ახალი წელი.,the New Year.
დისნეილენდში.,Disneyland.
საოლქო.,DECs.
ეს შენ თქვი!,You said it!
ბედუინები ცხოვრობენ უდაბნოში.,Bedouins live in the desert.
დასავლურ.,Western.
მოლდოვა.,Moldova.
სად არის პულტი?,Where is the remote control?
შვიდი საათია.,It's seven o'clock.
ქვეყანა აფასებს პრეზიდენტს.,The country respects the president.
დაახველა.,He coughed.
შენ ძალიან დაბალი ხარ.,You're very short.
კოლუმბია.,Colombia.
პომიდორები კარგად გაიზარდნენ.,The tomatoes have grown well.
ტაილანდი.,Thailand.
აზერბაიჯანის.,Azerbaijani.
კეთილი იყოს შენი შინ დაბრუნება.,Welcome home.
ძალიან მხიარული არიან.,They are very cheerful.
Puritan - ის სიამაყე.,Puritan ’s Pride.
ღამის სასტუმროები და რესტორნები მიმოხილვა.,Nightlife Restaurants and Hotels Review.
სამედიცინო ცენტრი.,Medical Center.
დავით ჭყონია.,David Tchkonia.
სტამბოლში.,Istanbul.
შენ რა უპასუხე?,What did you answer?
წყალი გაქვს.,You have water.
ში GAP - ში.,GAP.
რუმინეთის.,Romania.
ტომი დაინახე ავსტრალიაში?,Did you see Tom in Australia?
პაკისტანი.,Pakistan.
ჩემს გზაში ხარ.,You are in my way.
ნაძალადევის.,Nadzaladevi.
ვენესუელის.,Venezuelan.
ქუთაისშ ი.,Kutaisi.
სლოვენია.,Slovenia.
საბერძნეთი ძველი ქვეყანაა.,Greece is an old country.
კაცი ხარ თუ ქალი?,Are you a man or a woman?
არასამთავრობო.,NGO.
რ ქვათაძემ.,R Kvatadze.
გნებავთ რომ შეუკვეთოთ?,Would you like to order?
"ტომიც მასწავლებელია, არა?","Tom is a teacher, too, isn't he?"
ეს წიგნი არის ჩემი.,This book is mine.
ბუნების გზა.,Nature ’s Way.
საბჭოთა კავშირში.,the Soviet Union.
ჯონსონი.,Johnson.
ჩრდილოეთ ამერიკა.,North America.
"ადამიანთა უმეტესობა ფიქრობს, რომ მე ვარ გიჟი.",Most people think I'm crazy.
ჩემი ძაღლი არ არის აქ.,My dog isn't here.
ალბათ თავისი ძველი მეგობრის სანახავად წავიდა.,He must have gone to see his old friend.
 ამერიკული საბჭოები სამხრეთ.,ARISC.
სენეგალის.,Senegal.
უკრაინის.,Ukrainian.
შპს.,LLC.
სსიპ -,LEPL - Academy.
ტომი როგორ მიდის ავსტრალიაში?,How is Tom going to Australia?
ეს არის გოგო.,This is a girl.
ჩემი ძმები ხის ქვეშ არიან.,My brothers are under the tree.
მე მიყვარს ისტორიის სწავლა.,I like studying history.
გერმანელი.,German.
რუსეთიდან ვარ.,I am from Russia.
ეს ხე ჩემმა ბაბუამ დარგო.,My grandfather planted this tree.
მოზამბიკი.,Mozambique.
ხორვატიაში.,Croatia.
ლენინის.,Lenin.
ბათუმში.,Batumi.
ნინო.,Nino.
ემილი წერილს წერს.,Emily is writing a letter.
ძალიან გიყვართ ერთმანეთი?,Do you love each other very much?
"მითხრათ, ვინ არის ეს ვაჟი?",Tell me; who is this young man?
საშას ქონდა ძლიერი ტკივილი მარჯვენა ხელში.,Sasha had a sharp pain in her right hand.
ქართველების.,Georgians.
მოწვეული ვარ?,Am I invited?
კსუ -ს.,CIU.
ნიკორას.,Nikora.
ბერძნულ.,Greek.
ის დიდი ძაღლია.,It is a big dog.
ათენში.,Athens.
ჭამა მინდა.,I want to eat.
ცხოვრება საჩუქარია.,Life is a gift.
რუსეთ.,Russia.
ხარკოვის.,Kharkov.
ქართლში.,Kartli.
ტომი გაკეთებას გამოტოვებას აპირებს.,Tom is going to miss doing that.
ევროპარლამენტი.,The European Parliament.
ეგ ვაშლია?,Is that an apple?
ინგლისში.,England.
გამჭვირვალ ე Labs.,Transparent Labs.
ვინ მოგცა ნებართვა?,Who gave you permission?
ტყიბულის.,Tkibuli.
ინგლისიდან ვარ.,I come from England.
სტამბული.,Istanbul.
პეტერბურგის.,St Petersburg.
ის გოგოა.,She's a girl.
"ღიმილი, რომელსაც გაგზავნი, ისევ შენ დაგიბრუნდება.",The smile you send out returns to you.
მე შენს შესახებ ვისაუბრებ.,I'll talk about you.
ბრაზილიის.,Brazilian.
ორი ქალიშვილი მყავს.,I have two daughters.
ჩემი ცხოვრება ცარიელია მის გარეშე.,My life is empty without him.
შეგიძლია წახვიდე თუ გინდა.,You can go if you want to.
წყალტუბოში.,Tskaltubo.
ბიას.,BIA.
სამი ცალი მომეცით გეთაყვა.,I'd like three of these.
ჯილდო ფონდი.,The Reward Foundation.
ინდონეზიაში.,Indonesia.
სამხრეთ.,South.
მასშტაბით wBuyBuy Global მაღაზია.,BuyBuy Global Shop.
ვალენსია.,Valencia.
ლათინურ.,Latin.
პარლამენტის.,Parliament.
ზღვაში კუნძულებია.,There are islands in the sea.
კორეის.,Korean.
სამხრეთ ოსეთის.,South Ossetia.
როგორც იქნა შევხვდით! დიდხანს ველოდებოდი ამ დღეს!,At last we meet! I've waited so long for this day!
Piwigo - ტექდახმარება.,Piwigo - Contact.
Isobella ფრანკს.,Isobella Franks.
პრივატბანკი.,Privatbank.
არაფერი ვნახე.,I did not see anything.
საქართველ.,Georgia.
ლონდონი.,London.
Piwigo - ტექდახმარება.,Piwigo - Contact.
ეს სიმსუქნის შესახებ წიგნია.,This is a book about obesity.
ლიბერთი ბანკი.,Liberty Bank.
დსთ -ს.,CIS.
ეჭვი მეპარება.,I doubt it.
მე ვარ აბაზანაში.,I'm in the bath.
ადამი.,Adam.
ჯგუფი.,Group.
რუსეთი.,Russia.
ეგვიპტის.,Egyptian.
ევროპაშ.,Europe.
"გაზაფხულზე , ბუნება ხდება მწვანე.","In spring, nature turns green."
"ის ამბობს, რომ გიცნობს.",He says that he knows you.
საქართველოს სახალხო დამცველი.,The Public Defender of Georgia.
და შენ?,And you?
ქრისტიანი.,Christian.
ჩემი დედა ენა არის ესპანური.,My mother tongue is Spanish.
თურქულ.,Turkish.
წასვლას ვაპირებ.,I'm going to go.
ნატურალურად !,Naturally.
ჩვენი შეხვედრა შემთხვევითი იყო.,Our meeting was quite accidental.
გინდა წასვლა?,Do you want to go?
სასამართლო.,Court.
გავზვიადეთ.,We exaggerated.
გამომყევი მე!,Follow me!
ტოკიოში წასვლა მინდა.,I want to go to Tokyo.
მომწონს სიმარტივე,I like simplicity.
ადრიანეს Arch პარლამენტის.,the Hadrian ’s Arch the Parliament.
შენ ყოველთვის მღერი.,You always sing.
ბოლონიის.,Bologna.
ჩემი დედა ენა ესპანურია.,My mother tongue is Spanish.
შემიძლია აქ ვმუშაობ?,Can I work here?
ტაიპე ქალაქი.,Taipei City.
Leo Henryვიკიპედია ამბებ.,Leo HenryBitcoin.
ამ ქარხანაში ვმუშაობდი.,I worked in this factory.
შენ დარეკე?,You called?
ტუალეტის ქაღალდი არ არის.,There's no toilet paper.
რას სწავლობს სოვეტოლოგი?,What does a Sovietologist study?
ყინული დნება.,The ice is melting.
ზღვაშია კუნძულები.,There are islands in the sea.
ახალ ზელანდიაში.,New Zealand.
ურეკი.,Ureki.
ინგლისურის.,English.
შენ არა ხარ ექიმი.,You're not a doctor.
ბანკის.,Bank.
ციმბირში.,Siberia.
მსოფლიო ომის.,World War II.
თურქები.,Turks.
საერთაშორისო განვითარების სააგენტოს.,Agency for International Development.
ყავა მომიტანა.,He brought me coffee.
სიმარტივე მომწონს,I like simplicity.
ცხოვრება მინდა.,I want to live.
ტაქსის გამოძახების.,Maxim.
წითელი სახლი მაქვს.,I have a red house.
"უკაცრავად , თქვენ საუბრობთ იტალიურად?","Excuse me, do you speak Italian?"
სად არის სასტუმრო?,Where is the hotel?
კანარის კუნძულები.,the Canary Islands.
მეტრო.,Metro.
"დამსაქმებლებს არ შეუძლიათ უარი თქვან მომუშავეთა აყვანაზე მათი რასის, რელიგიის, ეთნიკური წარმომავლობის, კანის ფერის, სქესის, ასაკის, მატერიალური სტატუსის, შეზღუდულობის ან სექსუალური ორიენტაციის გამო.","Employers cannot refuse to hire workers because of their race, religion, ethnic origin, skin colour, sex, age, marital status, disability or sexual orientation."
შემომაკვდა.,I accidentally killed.
ჰააგის.,Hague.
არ უსმენ.,You're not listening.
თბილის.,Tbilisi.
მალე დავბრუნდები.,I will be back soon.
ავსტრალიის.,Australian.
მენადი ყაჩაღია.,Mennad is a robber.
მე მიყვარს წიგნების კითხვა.,I love to read books.
მე ვარ იგივე ნავში.,I'm in the same boat.
წესები არიან?,Are there any rules?
გული მაქვს.,I have a heart.
მე ვეგეტარიანელი ვარ.,I am a vegetarian.
მშიერი ვარ.,I am hungry.
საბჭომ.,Council.
ინდოეთში.,India.
პანამა.,Panama.
ბელორუსიის.,Belarus.
ტომი.,Tom.
სამგორის.,Samgori.
თომი დესერტს არ ჭამს.,Tom doesn't eat dessert.
ბარსელონა.,Barcelona.
ეგეოსის.,Aegean.
ქრისტიანულ.,Christian.
რომი.,Rome.
აკვარიუმის თევზი.,Aquarium Fish.
მისი ლექციამ თავის დროზე დაიწყო.,His lecture started on time.
ბევრია გასაკეთებლად.,There is a lot to do.
ჰოლანდიელი.,Dutch.
ნამიბია.,Namibia.
ნოვოსიბირსკის.,Novosibirsk.
აბუ დაბიში.,Abu Dhabi.
მეგობრობის სადღეგრძელო დავლიოთ!,Cheers!
ახლო აღმოსავლეთში.,the Middle East.
ბილეთი.,Mainland.
გიორგი.,Giorgi.
ეს ნოხია გაწმენდილი.,This rug has been cleaned.
კავკასიური.,Caucasian.
მელანი ახლავე და­კა­ვე­ბუ­ლია.,Melanie is busy right now.
მივყვეთ.,We succeeded.
ესტონეთში.,Estonia.
სოფელში ძროხა არის.,There is a cow in the village.
საბჭოთა.,Soviets.
ესავი.,Esau.
მე ცალთვალა ვარ.,I'm one-eyed.
მერწყული.,Aquarius.
ლუქსემბურგში.,Luxembourg.
ჰააგის.,The Hague.
გავცივდი.,I have a cold.
ლაოსი.,Laos.
დიდი ბრიტანეთის.,UK.
სად გინდა წასვლა?,Where do you want to go?
მუსულმანური.,Muslim.
შენ ინგლისურს სწავლობ.,You study English.
აშშ.,the U S.
ზიმბაბვე.,Zimbabwe.
მე შენ მიყვარხარ.,I love you.
მალაიზია.,Malaysia.
დუშეთის.,Dusheti.
ინგლისელი ვარ.,I come from England.
ეს ჩემი ძროხაა.,This is my cow.
ძალიან დამღალე.,I'm so tired of you.
ბაჰამის.,Bahamas.
მაკედონია.,Macedonia.
კარგად ხარ?,You all right?
კახეთის.,Kakheti.
მადონა.,Madonna.
Channel გათავისუფლები ს.,Channel Release.
კომპანიას.,Company.
ესპანურ.,Spanish.
მე აქ აღარ ვცხოვრობ.,I don't live here anymore.
ამინდი.,Accurate Weather Forecast.
თბილისშ.,Tbilisi.
ბორის პასტერნაკი.,Boris Pasternak.
მეგობრობის სადღეგრძელო დავლიოთ!,Let us drink to friendship!
თამარ.,Tamar.
მთავარი  უსაფრთხოების.,Home  Security.
იუსტიციის სამინისტროს.,the Ministry of Justice.
- საქართველოს.,ENG.
ნუ ტირი.,Don't cry.
ყურძენი გაქვს.,You have grapes.
ნიდერლანდებში.,Netherlands.
მერწყული.,Aquarius.
როდის აშენდა ეს საავადმყოფო?,When was this hospital built?
ის თქვენ ორი საათი გელოდათ.,He waited for you for two hours.
სენაკის.,Senaki.
საქართველოშ.,Georgia.
ოსმალეთის.,Ottoman.
ახალციხეში.,Akhaltsikhe.
მხოლოდ ვიცი ზოგიერთი სიტყვა და ფრაზა.,I only know some words and phrases.
გრამატიკა ძალიან რთულია.,Grammar is very complicated.
შრომის.,Labour.
ამერიკის შეერთებულ შტატებში.,the United States.
მე მოგცემ საჩუქარს.,I'll give you a present.
მე არ ვიცი იაპონურად ლაპარაკი.,I don't speak Japanese.
მე ვარ ამერიკელი.,I come from America.
რესტორანში ვარ.,I'm at the restaurant.
ზღვაშია კუნძულებია.,There are islands in the sea.
გაგიჟდი?,Are you mad?
ის კარს აღებს.,He opens the door.
ეს არის ჩემი წიგნი.,This is my book.
დასეტყვა.,It hail stoned.
ბაკურიანის.,Bakuriani.
თურქმენეთის.,Turkmenistan.
მაგიდაზე რუკა არის.,There is a map on the table.
ის არის ახალი სურათი?,Is it a recent picture?
ხორვატია.,Croatia.
დაივიწყე. ეს უბრალოდ იდეა იყო.,Forget it. It was just an idea.
ამ გზაჯვარედინზე მოხდა ავარია.,An accident happened at this junction.
იტალიაში წასვლა მინდა.,I want to go to Italy.
ნინო ლომჯარია.,Nino Lomjaria.
მწვანე გიხდება.,Green suits you.
საუდის.,Saudi.
ეს რა ეღირება?,How much will it cost?
მე სააფთიაქოში ვმუშაობ.,I work in a pharmacy.
"ერთმანეთს უყურებენ, მაგრამ არ საუბრობენ.",They look at each other but they don't talk.
მობრძანდით,Come in.
ფიქრებში დაიკარგა.,He is lost in thought.
ავსტრალია.,Australia.
საუბნო.,PECs.
სამეგრელო.,Samegrelo.
ტომი და მერი ანტიფაშისტები არიან.,Tom and Mary are anti-fascists.
თავი კიდევ მტკივა.,I have a headache again.
Tatiana გარეშე.,Tatyana.
მიხეილ Khazin.,Mikhail Khazin.
სამართლიანი არჩევნებისა და დემოკრატიის საერთაშორისო საზოგადოება.,The International Society for Fair Elections and Democracy  ISFED .
უფერო მწვანე წარმოდგენებს გააფთრებულად ძინავთ.,Colorless green ideas sleep furiously.
